Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Position,Image Alt Text,Gift Card,Variant Weight Unit,Variant SKU,Variant Compare At Price,Variant Barcode,SEO Description,Cost per item,custom_fields[pid],Image Src,Collection
fuse-switch-disconnector-in-line-design-3-pole-nh2-nh3-630-a-3nj4141-3bf11,"Fuse switch disconnector, in-line design, 3-pole, NH2, NH3, 630 A,- 3NJ4141-3BF11","<meta charset=utf-8><p><strong><span>Product Description:</span></strong></p><p><strong></strong>In-line fuse switch disconnector 1-pole selectable, Sz. 3 I=630 A, U=690 V Screw terminal M12, new design Current transformer installation possible The 3NJ4 fuse switch disconnectors for low-voltage distribution. 3NJ4 1-pole and 3-pole in-line fuse switch disconnectors can be installed in low-voltage distribution boards, substations and cable distribution cubicles. Key features of the Siemens 3NJ4 fuse switch disconnectors: 1. Compliance with IEC/EN 60439-1 and IEC/EN 60947-3. 2. Voltage levels up to 690 V AC. 3. Parking position for maintenance. 4. Vertical and horizontal mounting position. 5. Weathering resistance. 6. Degree of protection IP30 with closed fuse carriers, IP10 with open fuse carriers. www.siemens.com/switching-devices. Siemens offers a comprehensive portfolio of protection, switching, measuring and monitoring devices, distribution systems as well as switches and sockets for safe and efficient electrical infrastructure in buildings and industry.</p><p></p><a href=https://cdn.shopify.com/s/files/1/0078/1084/2724/files/3NJ41413BF11_datasheet.pdf target=_blank aria-describedby=a11y-new-window-external-message rel=noopener noreferrer>Fuse switch disconnector, in-line design, 3-pole, NH2, NH3, 630 A, ... motor - 3NJ4141-3BF11<strong><span></span> Datasheet</strong></a><ul></ul>",Siemens,In-line fuse switch disconnector 1-pole selectable,"emergency stop switch, Fuse switch disconnector, load switch, main switch, on/off switch, switch disconnector",1,Title,Default Title,5800,shopify,45000,continue,manual,566,1,1,1,,0,g,,,,,,3NJ4141-3BF11,https://static.siemens.com/mimes/10001000PNG/P_NSE0_XX_01479P.png,Shop All
fuse-switch-disconnector-in-line-design-3-pole-nh1-nh2-400-a-3nj4133-3bf11,"Fuse switch disconnector, in-line design, 3-pole, NH1, NH2, 400 A,- 3NJ4133-3BF11","<meta charset=utf-8><p><strong><span>Product Description:</span></strong></p><p><strong></strong>In-line fuse switch disconnector 3-pole selectable, Sz. 2 I=400 A, U=690 V Screw terminal M12, new design Current transformer installation possible The 3NJ4 fuse switch disconnectors for low-voltage distribution. 3NJ4 1-pole and 3-pole in-line fuse switch disconnectors can be installed in low-voltage distribution boards, substations and cable distribution cubicles. Key features of the Siemens 3NJ4 fuse switch disconnectors: 1. Compliance with IEC/EN 60439-1 and IEC/EN 60947-3. 2. Voltage levels up to 690 V AC. 3. Parking position for maintenance. 4. Vertical and horizontal mounting position. 5. Weathering resistance. 6. Degree of protection IP30 with closed fuse carriers, IP10 with open fuse carriers. www.siemens.com/switching-devices. Siemens offers a comprehensive portfolio of protection, switching, measuring and monitoring devices, distribution systems as well as switches and sockets for safe and efficient electrical infrastructure in buildings and industry.</p><p></p><a href=https://cdn.shopify.com/s/files/1/0078/1084/2724/files/3NJ41333BF11_datasheet.pdf target=_blank aria-describedby=a11y-new-window-external-message rel=noopener noreferrer>Fuse switch disconnector, in-line design, 3-pole, NH1, NH2, 400 A, ... motor - 3NJ4133-3BF11<strong><span></span> Datasheet</strong></a><ul></ul>",Siemens,In-line fuse switch disconnector 3-pole selectable,"emergency stop switch, Fuse switch disconnector, load switch, main switch, on/off switch, switch disconnector",1,Title,Default Title,5254,shopify,45000,continue,manual,485,1,1,1,,0,g,,,,,,3NJ4133-3BF11,https://static.siemens.com/mimes/10001000PNG/P_NSE0_XX_01480P.png,Shop All
fuse-switch-disconnector-in-line-design-3-pole-nh1-nh2-400-a-3nj4131-3bf11,"Fuse switch disconnector, in-line design, 3-pole, NH1, NH2, 400 A,- 3NJ4131-3BF11","<meta charset=utf-8><p><strong><span>Product Description:</span></strong></p><p><strong></strong>In-line fuse switch disconnector 1-pole selectable, Sz. 2 I=400 A, U=690 V Screw terminal M12, new design Current transformer installation possible The 3NJ4 fuse switch disconnectors for low-voltage distribution. 3NJ4 1-pole and 3-pole in-line fuse switch disconnectors can be installed in low-voltage distribution boards, substations and cable distribution cubicles. Key features of the Siemens 3NJ4 fuse switch disconnectors: 1. Compliance with IEC/EN 60439-1 and IEC/EN 60947-3. 2. Voltage levels up to 690 V AC. 3. Parking position for maintenance. 4. Vertical and horizontal mounting position. 5. Weathering resistance. 6. Degree of protection IP30 with closed fuse carriers, IP10 with open fuse carriers. www.siemens.com/switching-devices. Siemens offers a comprehensive portfolio of protection, switching, measuring and monitoring devices, distribution systems as well as switches and sockets for safe and efficient electrical infrastructure in buildings and industry.</p><p></p><a href=https://cdn.shopify.com/s/files/1/0078/1084/2724/files/3NJ41313BF11_datasheet.pdf target=_blank aria-describedby=a11y-new-window-external-message rel=noopener noreferrer>Fuse switch disconnector, in-line design, 3-pole, NH1, NH2, 400 A, ... motor - 3NJ4131-3BF11<strong><span></span> Datasheet</strong></a><ul></ul>",Siemens,In-line fuse switch disconnector 1-pole selectable,"emergency stop switch, Fuse switch disconnector, load switch, main switch, on/off switch, switch disconnector",1,Title,Default Title,5120,shopify,45000,continue,manual,485,1,1,1,,0,g,,,,,,3NJ4131-3BF11,https://static.siemens.com/mimes/10001000PNG/P_NSE0_XX_01479P.png,Shop All
accessory-for-strips-3nj41-in-line-fuse-switch-disconnectors-sz-3nj4915-2kb11,Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz.- 3NJ4915-2KB11,"<meta charset=utf-8><p><strong><span>Product Description:</span></strong></p><p><strong></strong>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 600/5 A, Cl. 0.5 legal-for-trade calibrated Comprehensive accessories for increased flexibility. From bridging bars through auxiliary switches to various drives, fourth poles or contact covers: With a wide range of accessories, the switch disconnectors and transfer switching equipment can be used for a wide variety of requirements and retrofitted at any time.  www.siemens.com/switching-devices. Siemens offers a comprehensive portfolio of protection, switching, measuring and monitoring devices, distribution systems as well as switches and sockets for safe and efficient electrical infrastructure in buildings and industry.</p><p></p><a href=https://cdn.shopify.com/s/files/1/0078/1084/2724/files/3NJ49152KB11_datasheet.pdf target=_blank aria-describedby=a11y-new-window-external-message rel=noopener noreferrer>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 600/5 A, Cl. 0.5 legal-for-trade calibra motor - 3NJ4915-2KB11<strong><span></span> Datasheet</strong></a><ul></ul>",Siemens,Accessory for strips 3NJ41 In-line fuse switch dis,"changeover switch, emergency stop switch, load switch, main switch, mains isolator, on/off switch, switch, switch disconnector, Switch disconnector with fuses, switching device",1,Title,Default Title,201,shopify,45000,continue,manual,566,1,1,1,,0,g,,,,,,3NJ4915-2KB11,https://static.siemens.com/mimes/10001000PNG/P_NSE0_XX_01257P.png,Shop All
accessory-for-strips-3nj41-in-line-fuse-switch-disconnectors-sz-3nj4915-2kb10,Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz.- 3NJ4915-2KB10,"<meta charset=utf-8><p><strong><span>Product Description:</span></strong></p><p><strong></strong>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 600/5 A, Cl. 0.5 Comprehensive accessories for increased flexibility. From bridging bars through auxiliary switches to various drives, fourth poles or contact covers: With a wide range of accessories, the switch disconnectors and transfer switching equipment can be used for a wide variety of requirements and retrofitted at any time.  www.siemens.com/switching-devices. Siemens offers a comprehensive portfolio of protection, switching, measuring and monitoring devices, distribution systems as well as switches and sockets for safe and efficient electrical infrastructure in buildings and industry.</p><p></p><a href=https://cdn.shopify.com/s/files/1/0078/1084/2724/files/3NJ49152KB10_datasheet.pdf target=_blank aria-describedby=a11y-new-window-external-message rel=noopener noreferrer>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 600/5 A, Cl. 0.5 motor - 3NJ4915-2KB10<strong><span></span> Datasheet</strong></a><ul></ul>",Siemens,Accessory for strips 3NJ41 In-line fuse switch dis,"changeover switch, emergency stop switch, load switch, main switch, mains isolator, on/off switch, switch, switch disconnector, Switch disconnector with fuses, switching device",1,Title,Default Title,198,shopify,45000,continue,manual,132,1,1,1,,0,g,,,,,,3NJ4915-2KB10,https://static.siemens.com/mimes/10001000PNG/P_NSE0_XX_01257P.png,Shop All
accessory-for-strips-3nj41-in-line-fuse-switch-disconnectors-sz-3nj4915-2ka11,Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz.- 3NJ4915-2KA11,"<meta charset=utf-8><p><strong><span>Product Description:</span></strong></p><p><strong></strong>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 600/1 A, Cl. 0.5 legal-for-trade calibrated Comprehensive accessories for increased flexibility. From bridging bars through auxiliary switches to various drives, fourth poles or contact covers: With a wide range of accessories, the switch disconnectors and transfer switching equipment can be used for a wide variety of requirements and retrofitted at any time.  www.siemens.com/switching-devices. Siemens offers a comprehensive portfolio of protection, switching, measuring and monitoring devices, distribution systems as well as switches and sockets for safe and efficient electrical infrastructure in buildings and industry.</p><p></p><a href=https://cdn.shopify.com/s/files/1/0078/1084/2724/files/3NJ49152KA11_datasheet.pdf target=_blank aria-describedby=a11y-new-window-external-message rel=noopener noreferrer>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 600/1 A, Cl. 0.5 legal-for-trade calibra motor - 3NJ4915-2KA11<strong><span></span> Datasheet</strong></a><ul></ul>",Siemens,Accessory for strips 3NJ41 In-line fuse switch dis,"changeover switch, emergency stop switch, load switch, main switch, mains isolator, on/off switch, switch, switch disconnector, Switch disconnector with fuses, switching device",1,Title,Default Title,203,shopify,45000,continue,manual,566,1,1,1,,0,g,,,,,,3NJ4915-2KA11,https://static.siemens.com/mimes/10001000PNG/P_NSE0_XX_01257P.png,Shop All
accessory-for-strips-3nj41-in-line-fuse-switch-disconnectors-sz-3nj4915-2jb10,Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz.- 3NJ4915-2JB10,"<meta charset=utf-8><p><strong><span>Product Description:</span></strong></p><p><strong></strong>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 500/5 A, Cl. 0.5 Comprehensive accessories for increased flexibility. From bridging bars through auxiliary switches to various drives, fourth poles or contact covers: With a wide range of accessories, the switch disconnectors and transfer switching equipment can be used for a wide variety of requirements and retrofitted at any time.  www.siemens.com/switching-devices. Siemens offers a comprehensive portfolio of protection, switching, measuring and monitoring devices, distribution systems as well as switches and sockets for safe and efficient electrical infrastructure in buildings and industry.</p><p></p><a href=https://cdn.shopify.com/s/files/1/0078/1084/2724/files/3NJ49152JB10_datasheet.pdf target=_blank aria-describedby=a11y-new-window-external-message rel=noopener noreferrer>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 500/5 A, Cl. 0.5 motor - 3NJ4915-2JB10<strong><span></span> Datasheet</strong></a><ul></ul>",Siemens,Accessory for strips 3NJ41 In-line fuse switch dis,"changeover switch, emergency stop switch, load switch, main switch, mains isolator, on/off switch, switch, switch disconnector, Switch disconnector with fuses, switching device",1,Title,Default Title,197,shopify,45000,continue,manual,132,1,1,1,,0,g,,,,,,3NJ4915-2JB10,https://static.siemens.com/mimes/10001000PNG/P_NSE0_XX_01257P.png,Shop All
accessory-for-strips-3nj41-in-line-fuse-switch-disconnectors-sz-3nj4915-2ha11,Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz.- 3NJ4915-2HA11,"<meta charset=utf-8><p><strong><span>Product Description:</span></strong></p><p><strong></strong>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 400/1 A, Cl. 0.5 legal-for-trade calibrated Comprehensive accessories for increased flexibility. From bridging bars through auxiliary switches to various drives, fourth poles or contact covers: With a wide range of accessories, the switch disconnectors and transfer switching equipment can be used for a wide variety of requirements and retrofitted at any time.  www.siemens.com/switching-devices. Siemens offers a comprehensive portfolio of protection, switching, measuring and monitoring devices, distribution systems as well as switches and sockets for safe and efficient electrical infrastructure in buildings and industry.</p><p></p><a href=https://cdn.shopify.com/s/files/1/0078/1084/2724/files/3NJ49152HA11_datasheet.pdf target=_blank aria-describedby=a11y-new-window-external-message rel=noopener noreferrer>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 400/1 A, Cl. 0.5 legal-for-trade calibra motor - 3NJ4915-2HA11<strong><span></span> Datasheet</strong></a><ul></ul>",Siemens,Accessory for strips 3NJ41 In-line fuse switch dis,"changeover switch, emergency stop switch, load switch, main switch, mains isolator, on/off switch, switch, switch disconnector, Switch disconnector with fuses, switching device",1,Title,Default Title,201,shopify,45000,continue,manual,433,1,1,1,,0,g,,,,,,3NJ4915-2HA11,https://static.siemens.com/mimes/10001000PNG/P_NSE0_XX_01257P.png,Shop All
accessory-for-strips-3nj41-in-line-fuse-switch-disconnectors-sz-3nj4915-2ha10,Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz.- 3NJ4915-2HA10,"<meta charset=utf-8><p><strong><span>Product Description:</span></strong></p><p><strong></strong>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 400/1 A, Cl. 0.5 Comprehensive accessories for increased flexibility. From bridging bars through auxiliary switches to various drives, fourth poles or contact covers: With a wide range of accessories, the switch disconnectors and transfer switching equipment can be used for a wide variety of requirements and retrofitted at any time.  www.siemens.com/switching-devices. Siemens offers a comprehensive portfolio of protection, switching, measuring and monitoring devices, distribution systems as well as switches and sockets for safe and efficient electrical infrastructure in buildings and industry.</p><p></p><a href=https://cdn.shopify.com/s/files/1/0078/1084/2724/files/3NJ49152HA10_datasheet.pdf target=_blank aria-describedby=a11y-new-window-external-message rel=noopener noreferrer>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 400/1 A, Cl. 0.5 motor - 3NJ4915-2HA10<strong><span></span> Datasheet</strong></a><ul></ul>",Siemens,Accessory for strips 3NJ41 In-line fuse switch dis,"changeover switch, emergency stop switch, load switch, main switch, mains isolator, on/off switch, switch, switch disconnector, Switch disconnector with fuses, switching device",1,Title,Default Title,200,shopify,45000,continue,manual,132,1,1,1,,0,g,,,,,,3NJ4915-2HA10,https://static.siemens.com/mimes/10001000PNG/P_NSE0_XX_01257P.png,Shop All
accessory-for-strips-3nj41-in-line-fuse-switch-disconnectors-sz-3nj4915-2ga11,Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz.- 3NJ4915-2GA11,"<meta charset=utf-8><p><strong><span>Product Description:</span></strong></p><p><strong></strong>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 250/1 A, Cl. 0.5 legal-for-trade calibrated Comprehensive accessories for increased flexibility. From bridging bars through auxiliary switches to various drives, fourth poles or contact covers: With a wide range of accessories, the switch disconnectors and transfer switching equipment can be used for a wide variety of requirements and retrofitted at any time.  www.siemens.com/switching-devices. Siemens offers a comprehensive portfolio of protection, switching, measuring and monitoring devices, distribution systems as well as switches and sockets for safe and efficient electrical infrastructure in buildings and industry.</p><p></p><a href=https://cdn.shopify.com/s/files/1/0078/1084/2724/files/3NJ49152GA11_datasheet.pdf target=_blank aria-describedby=a11y-new-window-external-message rel=noopener noreferrer>Accessory for strips 3NJ41 In-line fuse switch disconnectors Sz. NH1-3 Current transformers can be integrated 250/1 A, Cl. 0.5 legal-for-trade calibra motor - 3NJ4915-2GA11<strong><span></span> Datasheet</strong></a><ul></ul>",Siemens,Accessory for strips 3NJ41 In-line fuse switch dis,"changeover switch, emergency stop switch, load switch, main switch, mains isolator, on/off switch, switch, switch disconnector, Switch disconnector with fuses, switching device",1,Title,Default Title,207,shopify,45000,continue,manual,433,1,1,1,,0,g,,,,,,3NJ4915-2GA11,https://static.siemens.com/mimes/10001000PNG/P_NSE0_XX_01328P.png,Shop All
