Library Address,Product Description,Main Catgory,1st Sub-category,2nd Sub-category
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>SIMOTICS GP General Purpose Motors>SIMOTICS GP 1LE1/1PC1 Standard Motors,,Motor,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>SIMOTICS GP General Purpose Motors>SIMOTICS GP VSD Motors for converter operation,,Motor,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>SIMOTICS SD Severe Duty Motors>SIMOTICS SD Preferred Motors,,Motor,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>SIMOTICS SD Severe Duty Motors>SIMOTICS SD 1LE1 Standard Motors,,Motor,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>SIMOTICS SD Severe Duty Motors>SIMOTICS SD 1LE5 Standard Motors,,Motor,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>SIMOTICS SD Severe Duty Motors>SIMOTICS SD VSD Motors for converter operation,,Motor,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>SIMOTICS XP explosion-proof motors,,Motor,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – enclosed version>1LM1 motors for converter operation>Line voltage 400 V, 50 Hz – High Efficiency",,Motor,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – enclosed version>1LM1 motors for converter operation>Line voltage 400 V, 50 Hz – Premium Efficiency",,Motor,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – enclosed version>1LM1 motors for converter operation>Line voltage 500 V, 50 Hz – High Efficiency",,Motor,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – enclosed version>1LM1 motors for converter operation>Line voltage 500 V, 50 Hz – Premium Efficiency",,Motor,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – enclosed version>1LM1 motors for converter operation>Line voltage 690 V, 50 Hz – High Efficiency",,Motor,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – enclosed version>1LM1 motors for converter operation>Line voltage 690 V, 50 Hz – Premium Efficiency",,Motor,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – enclosed version>1LM1 motors for converter operation>Line voltage 460 V, 60 Hz – High Efficiency",,Motor,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – enclosed version>1LM1 motors for converter operation>Line voltage 460 V, 60 Hz – Premium Efficiency",,Motor,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – enclosed version>1LM1 motors for converter operation>Line voltage 575 V, 60 Hz – High Efficiency",,Motor,Industrial Motor,Low-Voltage Motor
